,SerialNo,Movie Name,Year of release,Run time,Movie Rating,Metascore,Votes,Gross collection in millions,Description,Director,Star
199,200,Umberto D.,1952,89,8.2,92.0,25974,0.07,An elderly man and his dog struggle to survive on his government pension in Rome.,Vittorio De Sica,"['Carlo Battisti, Maria Pia Casilio, Lina Gennari, Ileana Simova']"
200,201,Rashômon,1950,88,8.2,98.0,168231,0.1,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",Akira Kurosawa,"['Toshirô Mifune, Machiko Kyô, Masayuki Mori, Takashi Shimura']"
201,202,All About Eve,1950,138,8.2,98.0,131325,0.01,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,Joseph L. Mankiewicz,"['Bette Davis, Anne Baxter, George Sanders, Celeste Holm']"
202,203,The Treasure of the Sierra Madre,1948,126,8.2,98.0,124952,5.01,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,John Huston,"['Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett']"
203,204,To Be or Not to Be,1942,99,8.2,86.0,37353,229.0,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",Ernst Lubitsch,"['Carole Lombard, Jack Benny, Robert Stack, Felix Bressart']"
204,205,Gone with the Wind,1939,238,8.2,97.0,314595,198.68,The manipulative daughter of a Georgia plantation owner conducts a turbulent romance with a roguish profiteer during the American Civil War and Reconstruction periods.,"Victor Fleming, George Cukor, Sam Wood","[""Clark Gable, Vivien Leigh, Thomas Mitchell, Barbara O'Neil""]"
205,206,La passion de Jeanne d'Arc,1928,110,8.2,62.28,54828,0.02,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",Carl Theodor Dreyer,"['Maria Falconetti, Eugene Silvain, André Berley, Maurice Schutz']"
206,207,The General,1926,67,8.2,62.28,91388,1.03,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines.","Clyde Bruckman, Buster Keaton","['Buster Keaton, Marion Mack, Glen Cavender, Jim Farley']"
207,208,The Gold Rush,1925,95,8.2,62.28,111301,5.45,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.",Charles Chaplin,"['Charles Chaplin, Mack Swain, Tom Murray, Henry Bergman']"
208,209,Sherlock Jr.,1924,45,8.2,62.28,49995,0.98,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",Buster Keaton,"['Buster Keaton, Kathryn McGuire, Joe Keaton, Erwin Connelly']"
209,210,Portrait de la jeune fille en feu,2019,122,8.1,95.0,90123,3.76,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.",Céline Sciamma,"['Noémie Merlant, Adèle Haenel, Luàna Bajrami, Valeria Golino']"
210,211,Everything Everywhere All at Once,2022,139,8.1,81.0,213255,210.0,"An aging Chinese immigrant is swept up in an insane adventure, in which she alone can save the world by exploring other universes connecting with the lives she could have led.","Dan Kwan, Daniel Scheinert","['Michelle Yeoh, Stephanie Hsu, Jamie Lee Curtis, Ke Huy Quan']"
211,212,Pink,2016,136,8.1,62.28,45193,1.24,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.",Aniruddha Roy Chowdhury,"['Amitabh Bachchan, Taapsee Pannu, Kirti Kulhari, Andrea Tariang']"
212,213,Koe no katachi,2016,130,8.1,78.0,80258,75.62454999999994,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.",Naoko Yamada,"['Miyu Irino, Saori Hayami, Aoi Yûki, Kenshô Ono']"
213,214,"Three Billboards Outside Ebbing, Missouri",2017,115,8.1,88.0,501090,54.51,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,Martin McDonagh,"['Frances McDormand, Woody Harrelson, Sam Rockwell, Caleb Landry Jones']"
214,215,Talvar,2015,132,8.1,62.28,35496,0.34,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.,Meghna Gulzar,"['Irrfan Khan, Konkona Sen Sharma, Neeraj Kabi, Sohum Shah']"
