,SerialNo,Movie Name,Year of release,Run time,Movie Rating,Metascore,Votes,Gross collection in millions,Description,Director,Star
0,1,The Shawshank Redemption,1994,142,9.3,81.0,2646498,28.34,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Frank Darabont,"['Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler']"
1,2,The Godfather,1972,175,9.2,100.0,1834453,134.97,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,Francis Ford Coppola,"['Marlon Brando, Al Pacino, James Caan, Diane Keaton']"
2,3,The Dark Knight,2008,152,9.0,84.0,2618406,534.86,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Christopher Nolan,"['Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine']"
3,4,The Lord of the Rings: The Return of the King,2003,201,9.0,94.0,1822452,377.85,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Peter Jackson,"['Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom']"
4,5,Schindler's List,1993,195,9.0,94.0,1341386,96.9,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Steven Spielberg,"['Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall']"
5,6,The Godfather Part II,1974,202,9.0,90.0,1257284,57.3,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Francis Ford Coppola,"['Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton']"
6,7,12 Angry Men,1957,96,9.0,96.0,781342,4.36,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,Sidney Lumet,"['Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler']"
7,8,Rocketry: The Nambi Effect,2022,157,8.9,62.28,46123,75.62454999999994,"Based on the life of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994. Though free, he continues to fight for justice against the officials who falsely implicated him.",Madhavan,"['Madhavan, Simran, Rajit Kapoor, Ravi Raghavendra']"
8,9,Jai Bhim,2021,164,8.9,62.28,198740,239.0,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",T.J. Gnanavel,"['Suriya, Lijo Mol Jose, Manikandan K., Rajisha Vijayan']"
9,10,Pulp Fiction,1994,154,8.9,94.0,2025192,107.93,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,"['John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis']"
10,11,Inception,2010,148,8.8,74.0,2320632,292.58,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",Christopher Nolan,"['Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe']"
11,12,The Lord of the Rings: The Two Towers,2002,179,8.8,87.0,1645598,342.55,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",Peter Jackson,"['Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom']"
12,13,Fight Club,1999,139,8.8,66.0,2091234,37.03,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,David Fincher,"['Brad Pitt, Edward Norton, Meat Loaf, Zach Grenier']"
13,14,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92.0,1848500,315.54,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Peter Jackson,"['Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean']"
14,15,Forrest Gump,1994,142,8.8,82.0,2049124,330.25,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",Robert Zemeckis,"['Tom Hanks, Robin Wright, Gary Sinise, Sally Field']"
15,16,"Il buono, il brutto, il cattivo",1966,161,8.8,90.0,755360,6.1,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Sergio Leone,"['Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè']"
16,17,Soorarai Pottru,2020,153,8.7,62.28,114794,75.62454999999994,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.",Sudha Kongara,"['Suriya, Aparna Balamurali, Paresh Rawal, Urvashi']"
17,18,The Matrix,1999,136,8.7,73.0,1892621,171.48,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Lana Wachowski, Lilly Wachowski","['Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving']"
18,19,Goodfellas,1990,145,8.7,90.0,1146600,46.84,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",Martin Scorsese,"['Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco']"
19,20,The Empire Strikes Back,1980,124,8.7,82.0,1278935,290.48,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",Irvin Kershner,"['Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams']"
20,21,One Flew Over the Cuckoo's Nest,1975,133,8.7,84.0,999405,112.0,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",Milos Forman,"['Jack Nicholson, Louise Fletcher, Michael Berryman, Peter Brocco']"
21,22,Interstellar,2014,169,8.6,74.0,1790188,188.02,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,Christopher Nolan,"['Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy']"
22,23,Cidade de Deus,2002,130,8.6,79.0,751535,7.56,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","Fernando Meirelles, Kátia Lund","['Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele, Phellipe Haagensen']"
23,24,Sen to Chihiro no kamikakushi,2001,125,8.6,96.0,752368,10.06,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",Hayao Miyazaki,"['Daveigh Chase, Suzanne Pleshette, Miyu Irino, Rumi Hiiragi']"
24,25,Saving Private Ryan,1998,169,8.6,91.0,1375658,216.54,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",Steven Spielberg,"['Tom Hanks, Matt Damon, Tom Sizemore, Edward Burns']"
25,26,The Green Mile,1999,189,8.6,61.0,1285431,136.8,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",Frank Darabont,"['Tom Hanks, Michael Clarke Duncan, David Morse, Bonnie Hunt']"
26,27,La vita è bella,1997,116,8.6,59.0,688533,57.6,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",Roberto Benigni,"['Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano']"
27,28,Se7en,1995,127,8.6,65.0,1628868,100.13,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",David Fincher,"['Morgan Freeman, Brad Pitt, Kevin Spacey, Andrew Kevin Walker']"
28,29,Terminator 2: Judgment Day,1991,137,8.6,75.0,1088255,204.84,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son John from a more advanced and powerful cyborg.",James Cameron,"['Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick']"
29,30,The Silence of the Lambs,1991,118,8.6,85.0,1414640,130.74,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",Jonathan Demme,"['Jodie Foster, Anthony Hopkins, Lawrence A. Bonney, Kasi Lemmons']"
30,31,Star Wars,1977,121,8.6,90.0,1351559,322.74,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",George Lucas,"['Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness']"
31,32,Seppuku,1962,133,8.6,85.0,56482,45.0,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",Masaki Kobayashi,"['Tatsuya Nakadai, Akira Ishihama, Shima Iwashita, Tetsurô Tanba']"
32,33,Shichinin no samurai,1954,207,8.6,98.0,344151,0.27,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him. As the samurai teach the peasants how to defend themselves, the village is attacked by an army of bandits.",Akira Kurosawa,"['Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki']"
33,34,It's a Wonderful Life,1946,130,8.6,89.0,452118,21.0,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,Frank Capra,"['James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell']"
34,35,Kaithi,2019,145,8.5,62.28,30604,75.62454999999994,"Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy.",Lokesh Kanagaraj,"['Karthi, Narain, Arjun Das, George Maryan']"
35,36,Asuran,2019,141,8.5,62.28,28791,75.62454999999994,"The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. Will the farmer, a loving father and a pacifist by heart, be able to save his hot-blooded son is the rest of the story.",Vetrimaaran,"['Dhanush, Manju Warrier, Prakash Raj, Pasupathy']"
36,37,96,2018,158,8.5,62.28,30718,75.62454999999994,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.,"C. Prem Kumar, Murali Krishnan","['Vijay Sethupathi, Adithya Bhaskar, Trisha Krishnan, Gouri Kishan']"
37,38,Gisaengchung,2019,132,8.5,96.0,780015,53.37,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,Bong Joon Ho,"['Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong, Choi Woo-sik']"
38,39,Whiplash,2014,106,8.5,88.0,842184,13.09,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,Damien Chazelle,"['Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser']"
39,40,Sita Ramam,2022,163,8.5,62.28,34610,75.62454999999994,"An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After he gets caught in jail, he sends a letter to Sita which won't reach her.",Hanu Raghavapudi,"['Dulquer Salmaan, Mrunal Thakur, Rashmika Mandanna, Sumanth']"
40,41,The Intouchables,2011,112,8.5,57.0,848343,13.18,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","Olivier Nakache, Éric Toledano","['François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot']"
41,42,The Prestige,2006,130,8.5,66.0,1318929,53.09,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",Christopher Nolan,"['Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine']"
42,43,The Departed,2006,151,8.5,85.0,1311668,132.38,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Martin Scorsese,"['Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg']"
43,44,The Pianist,2002,150,8.5,85.0,822492,32.57,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,Roman Polanski,"['Adrien Brody, Thomas Kretschmann, Frank Finlay, Emilia Fox']"
44,45,Gladiator,2000,155,8.5,67.0,1483451,187.71,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Ridley Scott,"['Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed']"
45,46,American History X,1998,119,8.5,62.0,1113281,6.72,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,Tony Kaye,"[""Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien""]"
46,47,The Usual Suspects,1995,106,8.5,77.0,1076439,23.34,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",Bryan Singer,"['Kevin Spacey, Gabriel Byrne, Chazz Palminteri, Stephen Baldwin']"
47,48,Léon,1994,110,8.5,64.0,1148748,19.5,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",Luc Besson,"['Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello']"
48,49,The Lion King,1994,88,8.5,88.0,1046565,422.78,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","Roger Allers, Rob Minkoff","['Matthew Broderick, Jeremy Irons, James Earl Jones, Whoopi Goldberg']"
49,50,Nuovo Cinema Paradiso,1988,155,8.5,80.0,259486,11.99,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,Giuseppe Tornatore,"['Philippe Noiret, Enzo Cannavale, Antonella Attili, Isa Danieli']"
50,51,Hotaru no haka,1988,89,8.5,94.0,274425,46.0,A young boy and his little sister struggle to survive in Japan during World War II.,Isao Takahata,"['Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi, Yoshiko Shinohara']"
51,52,Back to the Future,1985,116,8.5,87.0,1188473,210.61,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",Robert Zemeckis,"['Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover']"
52,53,Apocalypse Now,1979,147,8.5,94.0,662482,83.47,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,Francis Ford Coppola,"['Martin Sheen, Marlon Brando, Robert Duvall, Frederic Forrest']"
53,54,Alien,1979,117,8.5,89.0,872965,78.9,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.,Ridley Scott,"['Sigourney Weaver, Tom Skerritt, John Hurt, Veronica Cartwright']"
54,55,Once Upon a Time in the West,1968,165,8.5,80.0,327825,5.32,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Sergio Leone,"['Henry Fonda, Charles Bronson, Claudia Cardinale, Jason Robards']"
55,56,Psycho,1960,109,8.5,97.0,665692,32.0,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",Alfred Hitchcock,"['Anthony Perkins, Janet Leigh, Vera Miles, John Gavin']"
56,57,Rear Window,1954,112,8.5,100.0,488442,36.76,"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.",Alfred Hitchcock,"['James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter']"
57,58,Casablanca,1942,102,8.5,100.0,567928,1.02,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,Michael Curtiz,"['Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains']"
58,59,Modern Times,1936,87,8.5,96.0,241339,0.16,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,Charles Chaplin,"['Charles Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford']"
59,60,City Lights,1931,87,8.5,99.0,184198,0.02,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",Charles Chaplin,"['Charles Chaplin, Virginia Cherrill, Florence Lee, Harry Myers']"
60,61,Vikram,2022,175,8.4,62.28,52476,75.62454999999994,"A high-octane action film where a special investigator is assigned a case of serial Killings, he finds the case is not what it seems to be and leading down this path is only going to end in a war between everyone involved.",Lokesh Kanagaraj,"['Kamal Haasan, Vijay Sethupathi, Fahadh Faasil, Narain']"
61,62,Hamilton,2020,160,8.4,90.0,92749,108.0,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",Thomas Kail,"['Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr., Renée Elise Goldsberry']"
62,63,Capharnaüm,2018,126,8.4,75.0,88538,1.66,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",Nadine Labaki,"['Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole, Kawsar Al Haddad']"
63,64,Joker,2019,122,8.4,59.0,1247631,335.45,A mentally troubled stand-up comedian embarks on a downward spiral that leads to the creation of an iconic villain.,Todd Phillips,"['Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy']"
64,65,Kimi no na wa.,2016,106,8.4,79.0,263090,5.02,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",Makoto Shinkai,"['Ryûnosuke Kamiki, Mone Kamishiraishi, Ryô Narita, Aoi Yûki']"
65,66,Spider-Man: Into the Spider-Verse,2018,117,8.4,87.0,516427,190.24,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","Bob Persichetti, Peter Ramsey, Rodney Rothman","['Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali']"
66,67,Avengers: Endgame,2019,181,8.4,78.0,1105162,858.37,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","Anthony Russo, Joe Russo","['Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth']"
67,68,Avengers: Infinity War,2018,149,8.4,68.0,1059384,678.82,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,"Anthony Russo, Joe Russo","['Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans']"
68,69,Coco,2017,105,8.4,81.0,496981,209.73,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","Lee Unkrich, Adrian Molina","['Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach']"
69,70,Django Unchained,2012,165,8.4,81.0,1531902,162.81,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.",Quentin Tarantino,"['Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington']"
70,71,Top Gun: Maverick,2022,130,8.4,78.0,386665,70.0,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.",Joseph Kosinski,"['Tom Cruise, Jennifer Connelly, Miles Teller, Val Kilmer']"
71,72,The Dark Knight Rises,2012,164,8.4,78.0,1686510,448.14,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",Christopher Nolan,"['Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman']"
72,73,Drishyam 2,2021,152,8.4,62.28,36266,75.62454999999994,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?,Jeethu Joseph,"['Mohanlal, Meena, Ansiba, Esther Anil']"
73,74,3 Idiots,2009,170,8.4,67.0,396812,6.53,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",Rajkumar Hirani,"['Aamir Khan, Madhavan, Mona Singh, Sharman Joshi']"
74,75,K.G.F: Chapter 2,2022,168,8.4,62.28,125547,75.62454999999994,"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy.",Prashanth Neel,"['Yash, Sanjay Dutt, Raveena Tandon, Srinidhi Shetty']"
75,76,Shershaah,2021,135,8.4,62.28,120446,75.62454999999994,"Shershaah is the story of PVC awardee Indian soldier Capt. Vikram Batra, whose bravery and unflinching courage in chasing the Pakistani soldiers out of Indian territory contributed immensely in India finally winning the Kargil War in 1999.",Vishnuvardhan,"['Sidharth Malhotra, Kiara Advani, Shiv Panditt, Pranay Pachauri']"
76,77,Sardar Udham,2021,164,8.4,62.28,41819,75.62454999999994,A biopic detailing the 2 decades that Punjabi Sikh revolutionary Udham Singh spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.,Shoojit Sircar,"['Vicky Kaushal, Shaun Scott, Stephen Hogan, Amol Parashar']"
77,78,WALL·E,2008,98,8.4,95.0,1105287,223.81,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",Andrew Stanton,"['Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard']"
78,79,The Lives of Others,2006,137,8.4,89.0,388070,11.29,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",Florian Henckel von Donnersmarck,"['Ulrich Mühe, Martina Gedeck, Sebastian Koch, Ulrich Tukur']"
79,80,Oldeuboi,2003,101,8.4,77.0,573742,0.71,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",Park Chan-wook,"['Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong, Kim Byeong-Ok']"
80,81,Memento,2000,113,8.4,80.0,1227280,25.54,A man with short-term memory loss attempts to track down his wife's murderer.,Christopher Nolan,"['Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior']"
81,82,American Beauty,1999,122,8.4,84.0,1146612,130.1,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,Sam Mendes,"['Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley']"
82,83,Mononoke-hime,1997,134,8.4,76.0,391211,2.38,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",Hayao Miyazaki,"['Yôji Matsuda, Yuriko Ishida, Yûko Tanaka, Billy Crudup']"
83,84,Braveheart,1995,178,8.4,68.0,1030854,75.6,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,Mel Gibson,"['Mel Gibson, Sophie Marceau, Patrick McGoohan, Angus Macfadyen']"
84,85,Idi i smotri,1985,142,8.4,62.28,78668,99.0,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",Elem Klimov,"['Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius, Vladas Bagdonas']"
85,86,Aliens,1986,137,8.4,84.0,712119,85.16,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",James Cameron,"['Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser']"
86,87,Amadeus,1984,160,8.4,88.0,399227,51.97,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.",Milos Forman,"['F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice']"
87,88,Raiders of the Lost Ark,1981,115,8.4,85.0,958451,248.16,"Archaeology professor Indiana Jones ventures to seize a biblical artefact known as the Ark of the Covenant. While doing so, he puts up a fight against Renee and a troop of Nazis.",Steven Spielberg,"['Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davies']"
88,89,Das Boot,1981,149,8.4,86.0,250395,11.49,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic world of a submariner in World War II.,Wolfgang Petersen,"['Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann, Hubertus Bengsch']"
89,90,The Shining,1980,146,8.4,66.0,1008095,44.02,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",Stanley Kubrick,"['Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers']"
90,91,Tengoku to jigoku,1963,143,8.4,90.0,44748,88.0,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,Akira Kurosawa,"['Toshirô Mifune, Yutaka Sada, Tatsuya Nakadai, Kyôko Kagawa']"
91,92,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,8.4,97.0,488283,0.28,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",Stanley Kubrick,"['Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn']"
92,93,Witness for the Prosecution,1957,116,8.4,76.0,124992,8.18,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,Billy Wilder,"['Tyrone Power, Marlene Dietrich, Charles Laughton, Elsa Lanchester']"
93,94,Paths of Glory,1957,88,8.4,90.0,196722,60.0,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",Stanley Kubrick,"['Kirk Douglas, Ralph Meeker, Adolphe Menjou, George Macready']"
94,95,Sunset Blvd.,1950,110,8.4,62.28,221186,59.0,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,Billy Wilder,"['William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson']"
95,96,The Great Dictator,1940,125,8.4,62.28,223227,0.29,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,Charles Chaplin,"['Charles Chaplin, Paulette Goddard, Jack Oakie, Reginald Gardiner']"
96,97,Ratsasan,2018,170,8.3,62.28,43698,75.62454999999994,A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.,Ram Kumar,"['Vishnu Vishal, Amala Paul, Radha Ravi, Sangili Murugan']"
97,98,Ayla: The Daughter of War,2017,125,8.3,62.28,39739,75.62454999999994,"In 1950, amid-st the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death, ...                See full summary »",Can Ulkay,"['Çetin Tekindor, Ismail Hacioglu, Kyung-jin Lee, Kim Seol']"
98,99,Vikram Vedha,2017,147,8.3,62.28,42913,75.62454999999994,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.","Gayatri, Pushkar, Gowtham Selvaraj","['Madhavan, Vijay Sethupathi, Shraddha Srinath, Kathir']"
